Date            R1  T1  CFreq      rms   sfnr    rdc study  Nout status drft drf2  esp  gmn gmn1 gmnN gtop gtop1 gtopN notes
20160121.063037  9  109 1277606090 0.035 404.2   7.1 5363 1    PASS   -0.4  0.6  472  1.4  1.4  1.4  3.0  3.0  3.0 "rgb"
20160122.061836  9  109 1277606170 0.032 387.1   8.1 5399 1    PASS   -0.4  0.6  472  1.3  1.3  1.3  2.8  2.8  2.9 "rgb"
20160125.070117  9  110 1277606080 0.032 403.6   7.8 5444 1    PASS   -0.5  0.6  472  1.5  1.5  1.5  3.1  3.0  3.2 "rgb"
20160126.064555  9  108 1277606320 0.033 399.3   7.9 5459 1    PASS   -0.5  0.7  472  1.4  1.4  1.4  2.9  3.0  2.9 "rgb"
20160127.064636  9  108 1277606090 0.033 391.8   7.7 5484 0    PASS   -0.3  0.5  472  1.3  1.3  1.3  2.9  3.0  2.9 "rgb"
20160128.061444  9  108 1277606090 0.036 404.7   6.6 5510 1    FAIL   -0.5  0.7  472  1.3  1.3  1.2  2.8  3.1  2.7 ""
20160128.063142  9  108 1277606160 0.032 402.2   7.4 5512 1    PASS   -0.4  0.5  472  1.2  1.3  1.2  2.7  2.8  2.7 "rgb"
20160201.082246  9  108 1277606250 0.033 405.1   8.3 5611 1    PASS   -0.5  0.6  472  1.3  1.3  1.3  2.7  2.8  2.9 "kl"
20160203.062907 10  109 1277606400 0.038 396.1   6.8 5681 1    PASS   -0.4  0.6  472  1.3  1.4  1.3  2.8  2.8  2.9 "rgb"
20160204.062549  9  109 1277606320 0.038 404.4   7.0 5707 1    FAIL   -0.4  0.7  472  1.3  1.3  1.3  2.8  2.7  2.8 ""
20160204.073952  9  109 1277606320 0.088 379.2   3.2 5710 2    FAIL   -0.5  1.5  472  1.3  1.3  1.3  2.8  2.8  2.9 ""
20160204.080713  9  108 1277606400 0.040 399.2   6.6 5712 1    PASS   -0.4  0.6  472  1.2  1.2  1.2  2.8  2.9  2.8 "kl"
20160205.061036 10  109 1277606320 0.036 386.8   7.1 5748 1    PASS   -0.4  0.5  472  1.4  1.4  1.4  3.1  3.0  3.2 "rgb"
20160208.070908  9  107 1277606090 0.033 401.6   8.0 5790 1    PASS   -0.5  0.6  472  1.4  1.4  1.4  2.8  2.8  2.8 "rgb restart"
20160209.062544  9  107 1277606240 0.031 400.9   8.5 5809 1    PASS   -0.4  0.5  472  1.5  1.5  1.5  3.0  3.0  3.1 "rgb"
20160210.062701  9  107 1277606010 0.036 413.4   6.9 5827 1    PASS   -0.3  0.5  472  1.4  1.4  1.5  3.0  2.9  3.0 "rgb"
20160211.064058  9  110 1277605780 0.035 405.2   7.1 5831 1    PASS   -0.3  0.5  472  1.2  1.3  1.2  2.8  3.0  2.7 "rgb"
20160212.061320  9  109 1277605610 0.038 398.2   6.5 5864 1    PASS   -0.4  0.6  472  1.2  1.2  1.2  2.5  2.4  2.6 "rgb"
20160216.073022  9  108 1277604830 0.031 402.2   8.1 5910 1    PASS   -0.5  0.6  472  1.3  1.3  1.3  2.7  2.6  2.7 "rgb"
20160217.062806  9  108 1277604750 0.039 398.8   7.0 5924 1    PASS   -0.4  0.6  472  1.2  1.2  1.2  2.8  3.0  2.8 "rgb"
20160218.062847 10  109 1277604670 0.033 394.0   7.9 5962 1    PASS   -0.5  0.7  472  1.4  1.4  1.4  3.0  2.9  3.1 "rgb"
20160219.060704  9  110 1277604590 0.034 388.3   7.9 5986 1    PASS   -0.3  0.4  472  1.6  1.7  1.7  3.7  3.7  3.7 "rgbn"
20160222.070538  9  109 1277604510 0.031 401.2   8.7 6061 1    PASS   -0.5  0.7  472  1.3  1.4  1.3  3.0  3.2  3.0 "rgb restart"
20160223.062431  9  108 1277604520 0.035 407.3   8.2 6069 1    PASS   -0.4  0.5  472  1.3  1.3  1.4  3.2  3.2  3.3 "rgb"
20160224.063139  9  109 1277604520 0.038 404.2   6.5 6094 1    PASS   -0.4  0.6  472  1.3  1.4  1.3  2.8  2.9  2.9 "rgb"
20160225.061813  9  110 1277604440 0.032 408.3   7.9 6120 1    PASS   -0.4  0.5  472  1.3  1.3  1.3  2.8  2.9  2.8 "rgb"
20160226.063014  9  108 1277604520 0.035 402.6   6.9 6177 0    PASS   -0.4  0.5  472  1.4  1.4  1.4  3.0  3.0  3.1 "rgb"
20160229.074121  9  110 1277604590 0.029 390.9   8.7 6243 1    PASS   -0.4  0.6  472  1.3  1.3  1.3  2.9  3.0  2.9 "rgb"
20160301.082907  9  108 1277604520 0.039 399.8   7.0 6257 1    PASS   -0.5  0.7  472  1.3  1.3  1.3  2.8  2.7  2.9 "kl"
20160302.062219  9  110 1277604510 0.035 397.3   7.9 6269 1    PASS   -0.4  0.6  472  1.6  1.6  1.6  3.2  3.2  3.2 "rgb"
20160303.064132  9  109 1277604590 0.036 397.5   7.0 6276 1    PASS   -0.4  0.6  472  1.2  1.2  1.2  2.7  2.7  2.8 "rgb"
20160304.062947  9  109 1277604430 0.040 396.8   6.4 6319 1    PASS   -0.4  0.6  472  1.3  1.3  1.3  2.8  2.9  2.8 "rgb"
20160307.072606  9  108 1277604510 0.041 389.7   6.4 6402 2    PASS   -0.4  0.7  472  1.6  1.6  1.6  3.4  3.4  3.4 "rgb"
20160308.063534 10  107 1277604520 0.034 386.0   8.0 6439 1    PASS   -0.4  0.6  472  1.3  1.4  1.4  3.1  3.2  3.1 "rgb"
20160309.062014  9  108 1277604520 0.036 395.5   7.8 6486 0    PASS   -0.4  0.6  472  1.4  1.5  1.4  3.0  3.0  3.1 "rgb"
20160310.063802  9  108 1277604520 0.038 398.6   6.3 6513 2    PASS   -0.5  0.7  472  1.2  1.2  1.2  2.6  2.7  2.7 "rgb"
20160311.063024  9  108 1277604520 0.038 389.9   7.3 6573 1    FAIL   -0.6  0.8  472  1.2  1.3  1.3  2.8  2.9  2.7 ""
20160314.071520  9  111 1277604510 0.034 392.7   8.0 140 1    PASS   -0.4  0.5  472  1.3  1.3  1.3  2.9  3.1  2.9 "rgb restart"
20160315.062917  9  108 1277604520 0.032 391.4   8.5 835 1    PASS   -0.4  0.5  472  1.4  1.4  1.4  2.9  2.8  2.9 ""
20160315.062917  9  108 1277604520 0.032 391.4   8.5 835 1    PASS   -0.4  0.5  472  1.4  1.4  1.4  2.9  2.8  2.9 "rgbb"
20160316.065702  9  109 1277604440 0.037 388.9   6.8 903 1    PASS   -0.4  0.6  472  1.2  1.3  1.2  2.8  2.9  2.8 "rgb"
20160317.065820  9  108 1277604520 0.032 386.4   8.5 985 1    PASS   -0.4  0.6  472  1.3  1.3  1.3  2.9  3.0  3.0 "rgb"
20160318.063139  9  109 1277604440 0.034 380.0   7.7 1055 1    PASS   -0.4  0.6  472  1.3  1.4  1.3  2.9  2.9  2.9 "rgb"
